location,date,vaccine,total_vaccinations
United States,4/12/2022,Pfizer/BioNTech,334457018
United States,4/13/2022,Johnson&Johnson,18638661
United States,4/13/2022,Moderna,213157104
United States,4/13/2022,Pfizer/BioNTech,334851638
United States,4/14/2022,Moderna,213420181
United States,4/14/2022,Pfizer/BioNTech,335211371
United States,4/15/2022,Johnson&Johnson,18640686
United States,4/15/2022,Moderna,213642288
United States,4/15/2022,Pfizer/BioNTech,335486821
United States,4/17/2022,Johnson&Johnson,18651114
United States,4/17/2022,Moderna,214090322
United States,4/17/2022,Pfizer/BioNTech,336110489
United States,4/18/2022,Johnson&Johnson,18652610
United States,4/18/2022,Moderna,214191561
United States,4/18/2022,Pfizer/BioNTech,336252416
United States,4/19/2022,Johnson&Johnson,18655717
United States,4/19/2022,Moderna,214389071
United States,4/19/2022,Pfizer/BioNTech,336519915
United States,4/20/2022,Johnson&Johnson,18658700
United States,4/20/2022,Moderna,214544808
United States,4/20/2022,Pfizer/BioNTech,336733418
United States,4/21/2022,Johnson&Johnson,18667082
United States,4/21/2022,Moderna,214838341
United States,4/21/2022,Pfizer/BioNTech,337149475
United States,4/23/2022,Johnson&Johnson,18675064
United States,4/23/2022,Moderna,215267780
United States,4/23/2022,Pfizer/BioNTech,337691560
United States,4/24/2022,Johnson&Johnson,18678603
United States,4/24/2022,Moderna,215441941
United States,4/24/2022,Pfizer/BioNTech,337925080
United States,4/25/2022,Johnson&Johnson,18680233
United States,4/25/2022,Moderna,215533577
United States,4/25/2022,Pfizer/BioNTech,338066044
United States,4/26/2022,Johnson&Johnson,18683465
United States,4/26/2022,Moderna,215886365
United States,4/26/2022,Pfizer/BioNTech,338462489
United States,4/27/2022,Johnson&Johnson,18687801
United States,4/27/2022,Moderna,216176131
United States,4/27/2022,Pfizer/BioNTech,338817094
United States,4/29/2022,Johnson&Johnson,18698642
United States,4/29/2022,Moderna,216613745
United States,4/29/2022,Pfizer/BioNTech,339391558
United States,4/30/2022,Johnson&Johnson,18703265
United States,4/30/2022,Moderna,216827616
United States,4/30/2022,Pfizer/BioNTech,339679887
United States,5/1/2022,Johnson&Johnson,18706597
United States,5/1/2022,Moderna,216993256
United States,5/1/2022,Pfizer/BioNTech,339892644
United States,5/2/2022,Johnson&Johnson,18710595
United States,5/2/2022,Moderna,217094546
United States,5/2/2022,Pfizer/BioNTech,340041803
United States,5/3/2022,Johnson&Johnson,18714926
United States,5/3/2022,Moderna,217319038
United States,5/3/2022,Pfizer/BioNTech,340349558
United States,5/4/2022,Johnson&Johnson,18719731
United States,5/4/2022,Moderna,217473916
United States,5/4/2022,Pfizer/BioNTech,340555503
United States,5/5/2022,Johnson&Johnson,18724225
United States,5/5/2022,Moderna,217673796
United States,5/5/2022,Pfizer/BioNTech,340886777
United States,5/6/2022,Johnson&Johnson,18726155
United States,5/6/2022,Moderna,217838273
United States,5/6/2022,Pfizer/BioNTech,341120660
United States,5/7/2022,Johnson&Johnson,18731178
United States,5/7/2022,Moderna,218042080
United States,5/7/2022,Pfizer/BioNTech,341391637
United States,5/8/2022,Johnson&Johnson,18734485
United States,5/8/2022,Moderna,218165790
United States,5/8/2022,Pfizer/BioNTech,341568304
United States,5/9/2022,Johnson&Johnson,18735773
United States,5/9/2022,Moderna,218252430
United States,5/9/2022,Pfizer/BioNTech,341692309
United States,5/10/2022,Johnson&Johnson,18738925
United States,5/10/2022,Moderna,218431517
United States,5/10/2022,Pfizer/BioNTech,341952524
United States,5/12/2022,Johnson&Johnson,18740901
United States,5/12/2022,Moderna,218799948
United States,5/12/2022,Pfizer/BioNTech,342409868
United States,5/13/2022,Johnson&Johnson,18741939
United States,5/13/2022,Moderna,218972615
United States,5/13/2022,Pfizer/BioNTech,342636566
United States,5/14/2022,Johnson&Johnson,18745199
United States,5/14/2022,Moderna,219173929
United States,5/14/2022,Pfizer/BioNTech,342891792
United States,5/15/2022,Johnson&Johnson,18746828
United States,5/15/2022,Moderna,219297720
United States,5/15/2022,Pfizer/BioNTech,343060118
United States,5/16/2022,Johnson&Johnson,18747590
United States,5/16/2022,Moderna,219366322
United States,5/16/2022,Pfizer/BioNTech,343161039
United States,5/17/2022,Johnson&Johnson,18750748
United States,5/17/2022,Moderna,219576781
United States,5/17/2022,Pfizer/BioNTech,343453572
United States,5/18/2022,Johnson&Johnson,18755312
United States,5/18/2022,Moderna,219744773
United States,5/18/2022,Pfizer/BioNTech,343689160
United States,5/19/2022,Moderna,219930777
United States,5/19/2022,Pfizer/BioNTech,343961862
United States,5/20/2022,Johnson&Johnson,18758947
United States,5/20/2022,Moderna,220048579
United States,5/20/2022,Pfizer/BioNTech,344101246
United States,5/21/2022,Johnson&Johnson,18763104
United States,5/21/2022,Moderna,220258769
United States,5/21/2022,Pfizer/BioNTech,344394956
United States,5/22/2022,Johnson&Johnson,18764904
United States,5/22/2022,Moderna,220380327
United States,5/22/2022,Pfizer/BioNTech,344563764
United States,5/23/2022,Johnson&Johnson,18765566
United States,5/23/2022,Moderna,220440746
United States,5/23/2022,Pfizer/BioNTech,344672021
United States,5/24/2022,Johnson&Johnson,18768404
United States,5/24/2022,Moderna,220671360
United States,5/24/2022,Pfizer/BioNTech,345017856
United States,5/25/2022,Johnson&Johnson,18771582
United States,5/25/2022,Moderna,220822817
United States,5/25/2022,Pfizer/BioNTech,345248627
United States,5/26/2022,Johnson&Johnson,18776774
United States,5/26/2022,Moderna,221058399
United States,5/26/2022,Pfizer/BioNTech,345599101
United States,5/27/2022,Johnson&Johnson,18780063
United States,5/27/2022,Moderna,221249107
United States,5/27/2022,Pfizer/BioNTech,345903502
United States,5/31/2022,Johnson&Johnson,18784785
United States,5/31/2022,Moderna,221575421
United States,5/31/2022,Pfizer/BioNTech,346423663
United States,6/1/2022,Moderna,221748670
United States,6/1/2022,Pfizer/BioNTech,346708234
United States,6/2/2022,Moderna,221900078
United States,6/2/2022,Pfizer/BioNTech,346954221
United States,6/3/2022,Johnson&Johnson,18786228
United States,6/3/2022,Moderna,221994751
United States,6/3/2022,Pfizer/BioNTech,347113595
United States,6/4/2022,Johnson&Johnson,18789206
United States,6/4/2022,Moderna,222147891
United States,6/4/2022,Pfizer/BioNTech,347357380
United States,6/5/2022,Johnson&Johnson,18790511
United States,6/5/2022,Moderna,222237499
United States,6/5/2022,Pfizer/BioNTech,347501597
United States,6/6/2022,Moderna,222279084
United States,6/6/2022,Pfizer/BioNTech,347580670
United States,6/7/2022,Moderna,222431598
United States,6/7/2022,Pfizer/BioNTech,347847846
United States,6/8/2022,Moderna,222506191
United States,6/8/2022,Pfizer/BioNTech,347972700
United States,6/9/2022,Johnson&Johnson,18791038
United States,6/9/2022,Moderna,222606034
United States,6/9/2022,Pfizer/BioNTech,348097820
United States,6/10/2022,Johnson&Johnson,18793348
United States,6/10/2022,Moderna,222742789
United States,6/10/2022,Pfizer/BioNTech,348322982
United States,6/11/2022,Johnson&Johnson,18796212
United States,6/11/2022,Moderna,222879133
United States,6/11/2022,Pfizer/BioNTech,348536648
United States,6/12/2022,Johnson&Johnson,18797670
United States,6/12/2022,Moderna,222954084
United States,6/12/2022,Pfizer/BioNTech,348663766
United States,6/13/2022,Johnson&Johnson,18798117
United States,6/13/2022,Moderna,222988591
United States,6/13/2022,Pfizer/BioNTech,348732741
United States,6/14/2022,Johnson&Johnson,18800097
United States,6/14/2022,Moderna,223098104
United States,6/14/2022,Pfizer/BioNTech,348923883
United States,6/15/2022,Johnson&Johnson,18808976
United States,6/15/2022,Moderna,223308265
United States,6/15/2022,Pfizer/BioNTech,349279465
United States,6/16/2022,Johnson&Johnson,18811735
United States,6/16/2022,Moderna,223409934
United States,6/16/2022,Pfizer/BioNTech,349460399
United States,6/22/2022,Moderna,223938249
United States,6/22/2022,Pfizer/BioNTech,350384148
United States,6/29/2022,Johnson&Johnson,18823432
United States,6/29/2022,Moderna,224756352
United States,6/29/2022,Pfizer/BioNTech,352049385
United States,7/6/2022,Moderna,225253126
United States,7/6/2022,Pfizer/BioNTech,352959331
United States,7/13/2022,Moderna,225820815
United States,7/13/2022,Pfizer/BioNTech,354009502
United States,7/20/2022,Moderna,226623424
United States,7/20/2022,Pfizer/BioNTech,355396322
United States,7/27/2022,Moderna,227455167
United States,7/27/2022,Pfizer/BioNTech,356743474
United States,8/3/2022,Johnson&Johnson,18832842
United States,8/3/2022,Moderna,227621032
United States,8/3/2022,Pfizer/BioNTech,357149149
United States,8/10/2022,Johnson&Johnson,18845464
United States,8/10/2022,Moderna,228323295
United States,8/10/2022,Pfizer/BioNTech,358354212
United States,8/17/2022,Johnson&Johnson,18856293
United States,8/17/2022,Moderna,228793653
United States,8/17/2022,Pfizer/BioNTech,359289983
United States,8/24/2022,Johnson&Johnson,18866547
United States,8/24/2022,Moderna,229236868
United States,8/24/2022,Pfizer/BioNTech,360175884
